logbookID	title	desc	start_date	start_place	end_date	end_place	source	note	change_date	changer	masterIDs	vesselIDs	voyageIDs	master	repositoryID	ID_in_repo	ID_in_repo_alt	url_in_repo	viewer_url	creator	creatorID	thumbnail	citation	other_years	segmentIDs
AL057063	Northern Light (Bark) of New Bedford, mastered by Gilbert L. Smith, Thomas Mellen, and West Mitchell, on voyage from 10 Oct. 1871-Oct. 1880		1871 Oct 10	New Bedford, MA	1880 May 17		NBWM		2018-11-13	N Silveira	AM4495, AM3419, AM3462	AS0503	AV10630		NBW	ODHS 30			https://archive.org/details/northernlightbar00nort	Robert Conley				1871 1872 1873 1874 1875 1876 1877 1878 1879 1880	
AL057064	Logbook of the Navarch (Steam bark) of New Bedford, mastered by William B. Ellis and Jas.A. Whiteside, on voyage from 6 July 1892-24 Nov. 1893		1892 July 5	New Bedford, MA	1893		NBWM		2018-11-13	N Silveira	AM1789, AM5316	AS0764	AV10320		NBW	ODHS 326			https://archive.org/details/logbookofnavarch00nava_0	Elisha P. Sampson				1892 1893	
AL057065	Logbook of the Eagle (Bark) of New Bedford, mastered by James McKenzie, on voyage from 7 June 1865-30 Sept. 1869		1865 June 5	New Bedford, MA	1869 Sept 30		NBWM		2018-10-20	N Silveira	AM3401	AS0177	AV03984		NBW	ODHS 329			https://archive.org/details/logbookofeagleba00eagl	James McKenzie				1865 1866 1867 1868 1869	
AL057066	Logbook of the Benjamin Tucker (Ship) of New Bedford, mastered by John Sands, on voyage from 5 Nov. 1851-30 May 1855		1851 Nov 3	New Bedford, MA	1855 May 30		NBWM		2018-11-01	N Silveira	AM4245	AS0063	AV01784		NBW	ODHS 332			https://archive.org/details/logbookofbenjami00benj	Mathew Baker				1851 1852 1853 1854 1855	
AL057067	Maria Theresa (Ship) of New Bedford, Mass., mastered by Micah Swift and then Eber C. Almy, on voyage from 26 Nov. 1847-21 Mar. 1851		1847 Nov 26	New Bedford, MA	1851		NBWM		2018-11-13	N Silveira	AM0128, AM4920	AS0411	AV09030		NBW	ODHS 379			https://archive.org/details/mariatheresaship00mari					1847 1848 1849 1850 1851	
AL057068	Java (Ship: 1818-1855) of New Bedford, Mass., mastered by John Stanton, on voyage 22 Aug. 1848-6 Mar. 1852		1848	New Bedford, MA	1852		NBWM		2018-10-20	N Silveira	AM4655	AS0317	AV07437		NBW	ODHS 38			https://archive.org/details/javaship1818185500java					1848 1849 1850 1851 1852	
AL057069	Logbook of the Fortune (Bark) of New Bedford, Mass., mastered by David Evans Hathaway and then William Davis, Jr., kept by William Davis, Jr., on voyage from 19 Oct. 1850-18 May 1854		1850	New Bedford, MA	1854		NBWM		2018-09-21	N Silveira	AM2491, AM1535	AS0224	AV05038		NBW	ODHS 385B			https://archive.org/details/logbookoffortune00unse	William Davis, Jr.				1850 1851 1852 1853 1854	
AL057070	Logbook of the Hibernia (Ship : 1830-1870) of New Bedford, Mass., mastered by Jeremiah Ludlow, on voyage from 3 May 1866-25 Nov. 1860		1866 May 2	New Bedford, MA	1870 Aug 28		NBWM		2018-09-21	N Silveira	AM3216	AS0285	AV06676		NBW	ODHS 390			https://archive.org/details/logbookofhiberni00unse					1866 1867 1868 1869 1870	
AL057071	Lancaster (Ship) of New Bedford, Mass., mastered by Eber Clark Almy, on voyage from 2 July 1851-14 May 1854		1851	New Bedford, MA	1854		NBWM		2018-11-13	N Silveira	AM0128	AS0370	AV08209		NBW	ODHS 393			https://archive.org/details/lancastershipofn00lanc					1851 1852 1853 1854	
AL057072	Logbook of the Milo (Ship) of New Bedford, Mass., mastered by George H. Soule, on voyage from 16 Aug. 1849-20 July 1851		1849 Aug 15	New Bedford, MA	1851		NBWM		2018-09-21	N Silveira	AM4598	AS0400	AV09771		NBW	ODHS 395	Microfilm Reel 267		https://archive.org/details/logbookofmiloshi00unse					1849 1850 1851	
AL057073	Logbook of the Niagara (Ship) of Fairhaven, Mass., mastered by Benjamin Clough, on voyage from 9 Oct. 1851-17 Feb. 1854		1851	Fairhaven, MA	1854		NBWM		2018-09-21	N Silveira	AM1072	AS2042	AV10460		NBW	ODHS 399			https://archive.org/details/logbookofniagara00unse					1851 1852 1853 1854	
AL057074	James D. Thompson (Bark) of New Bedford, Mass., mastered by William B. Waterman, on first voyage 18 Sept. 1855-3 Apr. 1858		1855 Sept 17	New Bedford, MA	1858		NBWM		2018-11-13	N Silveira	AM5188	AS0345	AV07207		NBW	ODHS 40			https://archive.org/details/jamesdthompsonba00jame	Captain Waterman				1855 1856 1857 1858	
AL057075	William Rotch (Ship) of New Bedford, Mass. William M. Ellison, master. Benjamin Mitchell, master. 1856 July 8-1860 May 20		1856 July 8	New Bedford, MA	1860		NBWM		2018-10-20	N Silveira	AM1790	AS0682	AV15716		NBW	ODHS 410			https://archive.org/details/williamrotchship00will	Benjamin Mitchell				1856 1857 1858 1859 1860	
AL057076	Logbook of the Cleone (Bark) of New Bedford, Mass., mastered by John E. Simmons and Daniel D. Wood (starting homebound on 28 Dec. 1861), on voyage from 4 Oct. 1858-3 Aug. 1862		1858 Oct 2	New Bedford, MA	1862		NBWM		2018-09-22	N Silveira	AM4373, AM5455	AS0121	AV02977		NBW	ODHS 413			https://archive.org/details/logbookofcleoneb00unse					1858 1859 1860 1861 1862	
AL057077	Logbook of the Marcia (Ship) of New Bedford, Mass., mastered by Randall Billings, kept by Anson D. Streeter and then Alonzo Skiff, on voyage from 25 Aug. 1857-16 May 1861		1857 Aug 24	New Bedford, MA	1861		NBWM		2018-09-22	N Silveira	AM0465	AS0459	AV08878		NBW	ODHS 413			https://archive.org/details/logbookofmarcias00unse	 Anson D. Streeter and then Alonzo Skiff				1857 1858 1859 1860 1861	
AL057078	Logbook of the Cleone (Bark) of New Bedford, Mass. Hervey E. Luce, master. 1864 May 21-1868 June 14		1864 May 23	New Bedford, MA	1868		NBWM		2018-09-27	N Silveira	AM3187	AS0121	AV02981		NBW	ODHS 414			https://archive.org/details/logbookofcleoneb1864unse					1864 1865 1866 1867 1868	
AL057079	Logbook of the America 2nd (Ship) of New Bedford, Mass., mastered by Charles P. Seabury, on voyage from 10 Sept. 1850-14 July 1851		1850 Sept 7	New Bedford, MA	1851		NBWM		2018-10-02	N Silveira	AM4292	AS0047	AV00823		NBW	ODHS 417D	Microfilm Reel 270		https://archive.org/details/logbookofamerica00unse	 Charles P. Seabury				1850 1851	
