DWid	DW	voyageID	voyage	vesselID	vessel	agentID	agent	masterID	master	DWlink	other_years	port	change_date	changer
AD14477	1-447	AV13162	Shibboleth : 1836-1837	AS2387	Shibboleth	AA0186	Burrows, Silas E.	AM1762	Dickens, Hezekiah	https://archive.org/details/abstractsofwhali1183denn/page/n484	1836 1837	New York, NY	2021-10-04	
AD14478	1-447	AV13163	Shibboleth : 1838-1839	AS2387	Shibboleth	AA0186	Burrows, Silas E.	AM4442	Smith	https://archive.org/details/abstractsofwhali1183denn/page/n484	1838 1839	New York, NY	2021-10-04	
AD14481	1-448	AV12394	Roanoke : 1836-1837	AS2300	Roanoke	AA1356	Wiggins & Parsons	AM2456	Harris, Hervey	https://archive.org/details/abstractsofwhali1183denn/page/n485	1836 1837	Greenport, NY	2021-10-04	
AD14482	1-448	AV12395	Roanoke : 1837-1838	AS2300	Roanoke	AA1356	Wiggins & Parsons	AM0844	Case, Nathaniel, Jr.	https://archive.org/details/abstractsofwhali1183denn/page/n485	1837 1838	Greenport, NY	2021-10-04	
AD14483	1-448	AV12396	Roanoke : 1838-1839	AS2300	Roanoke	AA1356	Wiggins & Parsons	AM0844	Case, Nathaniel, Jr.	https://archive.org/details/abstractsofwhali1183denn/page/n485	1838 1839	Greenport, NY	2021-10-04	
AD14484	1-448	AV12397	Roanoke : 1839-1840	AS2300	Roanoke	AA1356	Wiggins & Parsons	AM0844	Case, Nathaniel, Jr.	https://archive.org/details/abstractsofwhali1183denn/page/n485	1839 1840	Greenport, NY	2021-10-04	
AD14485	1-448	AV12398	Roanoke : 1840-1841	AS2300	Roanoke	AA1356	Wiggins & Parsons	AM2241	Glover, Benjamin Conkling, Jr.	https://archive.org/details/abstractsofwhali1183denn/page/n485	1840 1841	Greenport, NY	2021-10-04	
AD14486	1-448	AV12399	Roanoke : 1841-1842	AS2300	Roanoke	AA1356	Wiggins & Parsons	AM0844	Case, Nathaniel, Jr.	https://archive.org/details/abstractsofwhali1183denn/page/n485	1841 1842	Greenport, NY	2021-10-04	
AD14487	1-448	AV12400	Roanoke : 1842-1844	AS2300	Roanoke	AA1356	Wiggins & Parsons	AM0844	Case, Nathaniel, Jr.	https://archive.org/details/abstractsofwhali1183denn/page/n485	1842 1843 1844	Greenport, NY	2021-10-04	
AD14491	1-449	AV12654	Russell : 1841-1845	AS2321	Russell	AA1119	Sears, Prince	AM4018	Ray, Charles B.	https://archive.org/details/abstractsofwhali1183denn/page/n486	1841 1842 1843 1844 1845	Dartmouth, MA	2021-10-04	
AD14492	1-449	AV07506	Jefferson : 1839-1841	AS1695	Jefferson	AA1345	Wheeler, William	AM0296	Barker, John S.	https://archive.org/details/abstractsofwhali1183denn/page/n486	1839 1840 1841	Wilmington, DE	2021-10-04	
AD14493	1-449	AV07507	Jefferson : 1841-1844	AS1695	Jefferson			AM2718	Howland, Ezra T.	https://archive.org/details/abstractsofwhali1183denn/page/n486	1841 1842 1843 1844	Wilmington, DE	2021-10-04	
AD14494	1-449	AV12653	Russell : 1834-1838	AS2321	Russell	AA0783	Ludlow, Charles	AM0614	Brock	https://archive.org/details/abstractsofwhali1183denn/page/n486	1834 1835 1836 1837 1838	Dartmouth, MA	2021-10-04	
AD14501	1-450	AV12839	Sarah : 1850-1852	AS2356	Sarah			AM3491	Morse, John Osborn	https://archive.org/details/abstractsofwhali1183denn/page/n487	1850 1851 1852	Edgartown, MA	2021-10-04	
AD14502	1-450	AV12884	Sarah : 1845-1849	AS2356	Sarah	AA1340	Wheaton, John R.	AM4066	Rice, Thomas J.	https://archive.org/details/abstractsofwhali1183denn/page/n487	1845 1846 1847 1848 1849	Warren, RI	2021-10-04	
AD14503	1-450	AV13665	Swift : 1837-1841	AS0599	Swift	AA0571	Hathaway, Thomas S.	AM5056	Tobey, Lewis	https://archive.org/details/abstractsofwhali1183denn/page/n487	1837 1838 1839 1840 1841	New Bedford, MA	2021-10-04	
AD14504	1-450	AV13666	Swift : 1841-1845	AS0599	Swift	AA0571	Hathaway, Thomas S.	AM1860	Fisher, Francis	https://archive.org/details/abstractsofwhali1183denn/page/n487	1841 1842 1843 1844 1845	New Bedford, MA	2021-10-04	
AD14511	1-451	AV12756	Sally Anne : 1836-1838	AS0601	Sally Anne	AA0536	Greene, David R. & Co.	AM1275	Colt, Henry	https://archive.org/details/abstractsofwhali1183denn/page/n488	1836 1837 1838	New Bedford, MA	2021-10-04	
AD14512	1-451	AV12757	Sally Anne : 1838-1840	AS0601	Sally Anne	AA0535	Greene, David R.	AM0515	Borden, Robert E.	https://archive.org/details/abstractsofwhali1183denn/page/n488	1838 1839 1840	New Bedford, MA	2021-10-04	
AD14513	1-451	AV12758	Sally Anne : 1840-1842	AS0601	Sally Anne	AA0536	Greene, David R. & Co.	AM0515	Borden, Robert E.	https://archive.org/details/abstractsofwhali1183denn/page/n488	1840 1841 1842	New Bedford, MA	2021-10-04	
AD14514	1-451	AV12759	Sally Anne : 1842-1844	AS0601	Sally Anne	AA0536	Greene, David R. & Co.	AM0515	Borden, Robert E.	https://archive.org/details/abstractsofwhali1183denn/page/n488	1842 1843 1844	New Bedford, MA	2021-10-04	
AD14531	1-453	AV13116	Selma : 1837-1839	AS0605	Selma	AA1113	Seabury, A. H. & Bro.	AM2717	Howland, Elijah	https://archive.org/details/abstractsofwhali1183denn/page/n490	1837 1838 1839	New Bedford, MA	2021-10-04	
AD14532	1-453	AV13117	Selma : 1839-1841	AS0605	Selma	AA1113	Seabury, A. H. & Bro.	AM5349	Wilcox, Arlington	https://archive.org/details/abstractsofwhali1183denn/page/n490	1839 1840 1841	New Bedford, MA	2021-10-04	
AD14533	1-453	AV13118	Selma : 1841	AS0605	Selma	AA0351	Crocker, George O. & Co.	AM3181	Luce, Franklin	https://archive.org/details/abstractsofwhali1183denn/page/n490	1841	New Bedford, MA	2021-10-04	
AD14534	1-453	AV13194	Smyrna : 1841-1845	AS0612	Smyrna	AA1047	Ricketson, Barton	AM3440	Miller, Caleb	https://archive.org/details/abstractsofwhali1183denn/page/n490	1841 1842 1843 1844 1845	New Bedford, MA	2021-10-04	
AD14541	1-454	AV12807	Samuel Robertson : 1835-1837	AS0606	Samuel Robertson	AA1054	Robeson, Andrew	AM3400	McKenzie, Daniel	https://archive.org/details/abstractsofwhali1183denn/page/n491	1835 1836 1837	New Bedford, MA	2021-10-04	
AD14542	1-454	AV12808	Samuel Robertson : 1837-1840	AS0606	Samuel Robertson	AA1054	Robeson, Andrew	AM3400	McKenzie, Daniel	https://archive.org/details/abstractsofwhali1183denn/page/n491	1837 1838 1839 1840	New Bedford, MA	2021-10-04	
AD14543	1-454	AV12809	Samuel Robertson : 1841-1846	AS0606	Samuel Robertson	AA1054	Robeson, Andrew	AM5177	Warner, William H.	https://archive.org/details/abstractsofwhali1183denn/page/n491	1841 1842 1843 1844 1845 1846	New Bedford, MA	2021-10-04	
AD14551	1-455	AV13206	Solomon Saltus : 1845-1848	AS2398	Solomon Saltus	AA0407	Durfee, Nathan	AM1805	Fales, Nathaniel, Jr.	https://archive.org/details/abstractsofwhali1183denn/page/n492	1845 1846 1847 1848	Fall River, MA	2021-10-04	
AD14552	1-455	AV13360	St. George : 1835-1839	AS0591	St. George	AA0063	Barker, Abraham	AM1871	Fisher, Jared	https://archive.org/details/abstractsofwhali1183denn/page/n492	1835 1836 1837 1838 1839	New Bedford, MA	2021-10-04	
AD14553	1-455	AV13361	St. George : 1839-1843	AS0591	St. George	AA0351	Crocker, George O. & Co.	AM1871	Fisher, Jared	https://archive.org/details/abstractsofwhali1183denn/page/n492	1839 1840 1841 1842 1843	New Bedford, MA	2021-10-04	
AD14554	1-455	AV13362	St. George : 1843-1845	AS0591	St. George	AA0063	Barker, Abraham	AM5002	Thomas, Joseph	https://archive.org/details/abstractsofwhali1183denn/page/n492	1843 1844 1845	New Bedford, MA	2021-10-04	
AD14561	1-456	AV13373	St. Peter : 1837-1839	AS0608	St. Peter	AA0173	Bryant, Frederick	AM2817	Hussey, Peter	https://archive.org/details/abstractsofwhali1183denn/page/n493	1837 1838 1839	New Bedford, MA	2021-10-04	
AD14562	1-456	AV13374	St. Peter : 1839-1842	AS0608	St. Peter	AA0172	Bryant & Perry	AM3507	Mosher, William H.	https://archive.org/details/abstractsofwhali1183denn/page/n493	1839 1840 1841 1842	New Bedford, MA	2021-10-04	
AD14563	1-456	AV13375	St. Peter : 1842-1846	AS0608	St. Peter	AA1390	Wood, James B. & Co.	AM2012	Foster, Thomas	https://archive.org/details/abstractsofwhali1183denn/page/n493	1842 1843 1844 1845 1846	New Bedford, MA	2021-10-04	
AD14571	1-457	AV13093	Seine : 1837-1838	AS0610	Seine	AA0349	Crane & French	AM1911	Flanders, Daniel	https://archive.org/details/abstractsofwhali1183denn/page/n494	1837 1838	New Bedford, MA	2021-10-04	
AD14572	1-457	AV13094	Seine : 1838-1840	AS0610	Seine	AA0349	Crane & French	AM0027	Adams, Mayhew	https://archive.org/details/abstractsofwhali1183denn/page/n494	1838 1839 1840	New Bedford, MA	2021-10-04	
AD14573	1-457	AV13095	Seine : 1840-1842	AS0610	Seine	AA0480	French, Rodney	AM0027	Adams, Mayhew	https://archive.org/details/abstractsofwhali1183denn/page/n494	1840 1841 1842	New Bedford, MA	2021-10-04	
AD14574	1-457	AV13096	Seine : 1842-1844	AS0610	Seine	AA0480	French, Rodney	AM4518	Smith, John Sprague	https://archive.org/details/abstractsofwhali1183denn/page/n494	1842 1843 1844	New Bedford, MA	2021-10-04	
AD14581	1-458	AV12933	Sarah Louisa : 1836-1838	AS0607	Sarah Louisa	AA1065	Rodman, William R.	AM4255	Sanford, Ray Green	https://archive.org/details/abstractsofwhali1183denn/page/n495	1836 1837 1838	New Bedford, MA	2021-10-04	
AD14582	1-458	AV12934	Sarah Louisa : 1838-1840	AS0607	Sarah Louisa	AA1065	Rodman, William R.	AM4255	Sanford, Ray Green	https://archive.org/details/abstractsofwhali1183denn/page/n495	1838 1839 1840	New Bedford, MA	2021-10-04	
AD14583	1-458	AV12935	Sarah Louisa : 1840-1842	AS0607	Sarah Louisa	AA1065	Rodman, William R.	AM4255	Sanford, Ray Green	https://archive.org/details/abstractsofwhali1183denn/page/n495	1840 1841 1842	New Bedford, MA	2021-10-04	
AD14584	1-458	AV12937	Sarah Louisa : 1843	AS0607	Sarah Louisa			AM3901	Plaskett, Joseph A.	https://archive.org/details/abstractsofwhali1183denn/page/n495	1843	New Bedford, MA	2021-10-04	
AD14585	1-458	AV12938	Sarah Louisa : 1843-1846	AS0607	Sarah Louisa	AA1065	Rodman, William R.	AM3901	Plaskett, Joseph A.	https://archive.org/details/abstractsofwhali1183denn/page/n495	1843 1844 1845 1846	New Bedford, MA	2021-10-04	
AD14591	1-459	AV13282	South Carolina : 1835-1837	AS0603	South Carolina	AA1051	Rider, James	AM3834	Perry, William B.	https://archive.org/details/abstractsofwhali1183denn/page/n496	1835 1836 1837	Dartmouth, MA	2021-10-04	
AD14592	1-459	AV13283	South Carolina : 1837-1838	AS0603	South Carolina	AA1051	Rider, James	AM4455	Smith, Abner	https://archive.org/details/abstractsofwhali1183denn/page/n496	1837 1838	Dartmouth, MA	2021-10-04	
AD14593	1-459	AV13284	South Carolina : 1838-1842	AS0603	South Carolina	AA1051	Rider, James	AM0233	Bailey, Joseph A., Jr.	https://archive.org/details/abstractsofwhali1183denn/page/n496	1838 1839 1840 1841 1842	Dartmouth, MA	2021-10-04	
AD14594	1-459	AV13288	South Carolina : 1842-1844	AS0603	South Carolina	AA1047	Ricketson, Barton	AM4709	Stewart, Ansel N.	https://archive.org/details/abstractsofwhali1183denn/page/n496	1842 1843 1844	New Bedford, MA	2021-10-04	
AD14601	1-460	AV13272	South Boston : 1835-1837	AS2407	South Boston	AA1110	Sawin, Ezekiel	AM0790	Butler, Peter	https://archive.org/details/abstractsofwhali1183denn/page/n497	1835 1836 1837	Fairhaven, MA	2021-10-04	
