mabsID	voyageID	voyage	masterID	maurymaster	vesselID	mauryvessel	mauryrig	mauryport	maurydest	mauryvol	maurypage	maurylink	mauryplaces	maurynotes	other_years
AB271	AV06653	Hibernia : 1830-1831	AM3771	Pease, Henry	AS0273	Hibernia	Ship	New Bedford, MA	South Atlantic	426 part 6	v7	https://catalog.archives.gov/id/454830299?objectPage=499	https://catalog.archives.gov/id/454830299?objectPage=445		1830 1831
AB272	AV06654	Hibernia : 1831-1832	AM3771	Pease	AS0273	Hibernia	Ship		South Atlantic	404	1	https://catalog.archives.gov/id/454828273?objectPage=22			1831 1832
AB273	AV06678	Hibernia II : 1844-1847	AM4509	Smith, James	AS0285	Hibernia II	Ship	New London, CT		59	56	https://catalog.archives.gov/id/454778531?objectPage=283		sailed 14 Aug 1844	1844 1845 1846 1847
AB274	AV06724	Hoogly : 1837-1840	AM3195	Luce	AS1610	Hoogly	Ship	Warren, RI		36	55	https://catalog.archives.gov/id/454773400?objectPage=72		returned 28 Aug 1840	1837 1838 1839 1840
AB275	AV06725	Hoogly : 1840-1843	AM4858	Nye, John B.	AS1610	Hoogly	Ship	Warren, RI		36	73	https://catalog.archives.gov/id/454773400?objectPage=89			1840 1841 1842 1843
AB276	AV06757	Hope : 1832-1835	AM4468	Smith, Charles G.	AS0270	Hope	Ship	New Bedford, MA	Pacific Ocean	139	164	https://catalog.archives.gov/id/454795781?objectPage=382	https://catalog.archives.gov/id/454795781?objectPage=219	sailed 16 Sep 1832	1832 1833 1834 1835
AB277	AV06771	Hope : 1847-1850	AM0583	Brayton	AS0270	Hope	Bark			132	90	https://catalog.archives.gov/id/454794004?objectPage=614	https://catalog.archives.gov/id/454794004?objectPage=524		1847 1848 1849 1850
AB278	AV06769	Hope II : 1844-1847	AM5349	Wilcox	AS0278	Hope II	Ship		King George's Sound	126	28	https://catalog.archives.gov/id/454793109?objectPage=324	https://catalog.archives.gov/id/454793109?objectPage=295		1844 1845 1846 1847
AB279	AV06793	Hopewell : 1844-1848	AM3130	Littlefield	AS1623	Hopewell	Ship	Warren, RI		36	4	https://catalog.archives.gov/id/454773400?objectPage=20		Continues from volume 36 commencing 10 October 1846	1844 1845 1846 1847 1848
AB280	AV06807	Houqua : 1831-1835	AM4866	Pease, V.	AS0275	Houqua	Ship		Mowee	109	69	https://catalog.archives.gov/id/454789411?objectPage=86	https://catalog.archives.gov/id/454789411?objectPage=17		1831 1832 1833 1834 1835
AB281	AV06817	Howard : 1835-1838	AM5511	Worth, Wm.	AS1624	Howard	Ship		Arica	101	81	https://catalog.archives.gov/id/454787638?objectPage=223	https://catalog.archives.gov/id/454787638?objectPage=141		1835 1836 1837 1838
AB282	AV06818	Howard : 1838-1841	AM5511	Worth, Wm.	AS1624	Howard	Ship		Valparaiso	158	73	https://catalog.archives.gov/id/454800028?objectPage=91	https://catalog.archives.gov/id/454800028?objectPage=18		1838 1839 1840 1841
AB283	AV06886	Huntress : 1832-1836	AM3929	Post, Francis	AS0277	Huntress	Ship	New Bedford, MA	Pacific Ocean	154	53	https://catalog.archives.gov/id/454799208?objectPage=70	https://catalog.archives.gov/id/454799208?objectPage=18		1832 1833 1834 1835 1836
AB284	AV06887	Huntress : 1836-1837	AM1235	Cole	AS0277	Huntress	Ship			79	1	https://catalog.archives.gov/id/454782948?objectPage=19	https://catalog.archives.gov/id/454782948?objectPage=17		1836 1837
AB285	AV06889	Huntress : 1839-1841	AM2352	Hall, A.	AS0277	Huntress	Ship		Pacific Ocean	28	1	https://catalog.archives.gov/id/454771610?objectPage=19	https://catalog.archives.gov/id/454771610?objectPage=17		1839 1840 1841
